step,Q
1,1600000023770377.0
2,1600116212662142.0
3,1600114804058422.0
4,1600127117435759.2
5,1600139885579858.8
6,1600152453287956.5
7,1600164633940044.2
8,1600176380711836.5
9,1600187690090203.0
10,1600198575107683.0
11,1600209055053619.2
12,1600219149768545.2
13,1600228878858496.0
14,1600238261031649.5
15,1600247313631445.0
16,1600256052573436.8
17,1600264492525248.8
18,1600272646997572.8
19,1600280528478040.8
20,1600288148571279.2
21,1600295518104061.8
22,1600302647210668.5
23,1600309545414668.0
24,1600316221697010.0
25,1600322684548528.5
26,1600328942020528.2
27,1600335001772750.8
28,1600340871110967.8
29,1600346557016981.0
30,1600352066173579.0
31,1600357404986241.2
32,1600362579601166.8
33,1600367595921663.0
34,1600372459621627.5
35,1600377176156965.2
36,1600381750775792.5
37,1600386188527936.5
38,1600390494273382.2
39,1600394672689817.8
40,1600398728279943.5
41,1600402665378256.8
42,1600406488157127.8
43,1600410200633296.0
44,1600413806673678.0
45,1600417310000756.2
46,1600420714197830.5
47,1600424022714133.0
48,1600427238869607.5
49,1600430365860272.0
50,1600433406762427.8
51,1600436364537082.2
52,1600439242034163.5
53,1600442041996709.2
54,1600444767064797.0
55,1600447419779349.2
56,1600450002585957.0
57,1600452517838515.0
58,1600454967802664.0
59,1600457354659143.2
60,1600459680506846.2
61,1600461947366337.5
62,1600464157182701.0
63,1600466311828431.2
64,1600468413106257.5
65,1600470462751874.2
66,1600472462436489.8
67,1600474413769422.2
68,1600476318300423.8
69,1600478177522099.5
70,1600479992872083.5
71,1600481765735230.5
72,1600483497445645.8
73,1600485189288737.8
74,1600486842503082.8
75,1600488458282164.8
76,1600490037776351.0
77,1600491582094528.0
78,1600493092305718.8
79,1600494569440622.2
80,1600496014493118.0
81,1600497428421705.2
82,1600498812150950.2
83,1600500166572694.8
84,1600501492547424.8
85,1600502790905404.2
86,1600504062448008.8
87,1600505307948776.5
88,1600506528154460.0
89,1600507723786053.5
90,1600508895539634.2
91,1600510044087707.8
92,1600511170079887.2
93,1600512274143797.2
94,1600513356885900.5
95,1600514418892312.2
96,1600515460729573.8
97,1600516482945381.8
98,1600517486069335.2
99,1600518470613566.8
100,1600519437073435.2
101,1600520385928160.5
102,1600521317641382.8
103,1600522232661781.8
104,1600523131423620.2
105,1600524014347285.2
106,1600524881839747.2
107,1600525734295143.2
108,1600526572095160.2
109,1600527395609544.2
110,1600528205196489.8
111,1600529001203094.0
112,1600529783965747.0
113,1600530553810486.0
114,1600531311053411.5
115,1600532056000993.8
116,1600532788950458.8
117,1600533510190092.5
118,1600534219999523.0
119,1600534918650091.5
120,1600535606405081.8
