step,VAF_m3
1,9004336531946.459
2,9000943034446.828
3,8997645572775.775
4,8994416115181.246
5,8991213142373.959
6,8988045340098.693
7,8984897175347.658
8,8981778831642.604
9,8978675878931.402
10,8975564085417.521
11,8972447134281.762
12,8969360042199.73
13,8966285591617.938
14,8963199018679.875
15,8960110907906.95
16,8957047779607.096
17,8953991372888.62
18,8950946473426.23
19,8947925573741.676
20,8944911668265.645
21,8941899649267.654
22,8938873403554.012
23,8935846185706.72
24,8932827255854.219
25,8929811838763.605
26,8926807231461.787
27,8923836718431.938
28,8920859941519.254
29,8917890331273.48
30,8914910417748.744
31,8911926632937.11
32,8908921243981.393
33,8905911250713.936
34,8902902343403.467
35,8899884294431.807
36,8896852437439.47
37,8893808831537.145
38,8890757267702.707
39,8887696334364.293
40,8884634591295.613
41,8881570288459.402
42,8878518512757.818
43,8875465979285.467
44,8872403749213.574
45,8869334759564.885
46,8866252830045.225
47,8863166182983.607
48,8860080237024.055
49,8856989460788.24
50,8853893828883.775
51,8850797548126.14
52,8847697919793.178
53,8844591249671.266
54,8841476851916.586
55,8838355148560.73
56,8835228201121.156
57,8832102679383.049
58,8828970133625.146
59,8825841070135.432
60,8822710228775.572
61,8819579925221.668
62,8816446913756.457
63,8813318862768.477
64,8810185715482.111
65,8807056045853.973
66,8803934409669.818
67,8800808147627.879
68,8797680243840.7
69,8794546868800.416
70,8791408194045.515
71,8788265207650.122
72,8785116828367.556
73,8781967183915.339
74,8778820875451.59
75,8775667616240.395
76,8772512222908.101
77,8769353997656.147
78,8766191050687.603
79,8763031120885.48
80,8759865802984.376
